No,model_number_sku,housing_style,wall_mount,ceiling_mount_single_unit,pole_mount,corner_mount,in-ceiling_mount,parapet_mount,junction_box,dual_junction_box,Adapter and others
69,AVC-NSE81M,Turret,"AVM-CWM-EDV-L1, AVM-HWM-E-L1",AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-L1,AVM-JB-DUAL-UL1,
70,AVC-NKE81M,Turret,"AVM-CWM-EDV-L1, AVM-HWM-E-L1",AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-L1,AVM-JB-DUAL-UL1,
71,AVC-NKB51F28,Bullet,,AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S2,AVM-JB-DUAL-US1,
72,AVC-NSB81F28,Bullet,,AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S2,AVM-JB-DUAL-US1,
73,AVC-NKB81F28,Bullet,,AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S2,AVM-JB-DUAL-US1,
74,AVC-NKB51M,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-L1",AVM-JB-DUAL-UL1,
75,AVC-NKB51M50,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-L1, AVM-JB-BE-S2",AVM-JB-DUAL-UL1,
76,AVC-NSB81M,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-L1",AVM-JB-DUAL-UL1,
77,AVC-NKB81M,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-L1",AVM-JB-DUAL-UL1,
78,AVC-NSB81M50,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-L1",AVM-JB-DUAL-UL1,
79,AVC-NKB81M50,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-L1",AVM-JB-DUAL-UL1,
80,AVC-NKV51F28,Vandal Dome,"AVM-CWM-EV-S2, AVM-HWM-V-S1",AVM-HCM-V-S1,AVM-P-POM-A2,AVM-CRM-A1,AVM-RM-V-S1,,AVM-JB-V-S1,AVM-JB-DUAL-US1,
81,AVC-NSV81F28,Vandal Dome,"AVM-CWM-EV-S2, AVM-HWM-V-S1",AVM-HCM-V-S1,AVM-P-POM-A2,AVM-CRM-A1,AVM-RM-V-S1,,AVM-JB-V-S1,AVM-JB-DUAL-US1,
82,AVC-NKV81F28,Vandal Dome,"AVM-CWM-EV-S2, AVM-HWM-V-S1",AVM-HCM-V-S1,,AVM-CRM-A1,AVM-RM-V-S1,,AVM-JB-V-S1,AVM-JB-DUAL-US1,
83,AVC-NKV51M,Vandal Dome,"AVM-CWM-EDV-L1, AVM-HWM-V-L1",AVM-HCM-V-L1,AVM-P-POM-A2,AVM-CRM-A1,AVM-RM-V-L1,,AVM-JB-V-L1,AVM-JB-DUAL-UL1,AVM-WS-V-L1
84,AVC-NSV81M,Vandal Dome,"AVM-CWM-EDV-L1, AVM-HWM-V-L1",AVM-HCM-V-L1,AVM-P-POM-A2,AVM-CRM-A1,AVM-RM-V-L1,,AVM-JB-V-L1,AVM-JB-DUAL-UL1,AVM-WS-V-L1
85,AVC-NKV81M,Vandal Dome,"AVM-CWM-EDV-L1, AVM-HWM-V-L1",AVM-HCM-V-L1,AVM-P-POM-A2,AVM-CRM-A1,AVM-RM-V-L1,,AVM-JB-V-L1,AVM-JB-DUAL-UL1,AVM-WS-V-L1
86,AVC-NKD51F28,Indoor Dome,,,,,,,,,
87,AVC-NSD81F28,Indoor Dome,,,,,,,,,
88,AVC-NKD81F28,Indoor Dome,,,,,,,,,
89,AVC-NSD51M,Indoor Dome,AVM-CWM-EDV-L1,,,,,,,,
90,AVC-NKD51M,Indoor Dome,AVM-CWM-EDV-L1,,,,,,,,
91,AVC-NSD81M,Indoor Dome,AVM-CWM-EDV-L1,,,,,,,,
