No,model_number_sku,housing_style,wall_mount,ceiling_mount_single_unit,pole_mount,corner_mount,in-ceiling_mount,parapet_mount,junction_box,dual_junction_box,Adapter and others
130,AVC-TE51F36,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S2,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-AD2, AVM-JB-BE-S2",,
131,AVC-TE51M,Turret,"AVM-CWM-EDV-L1, AVM-HWM-E-L1",AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-L1,,
132,AVC-TLE51F28,Turret,,,,,,,,,
133,AVC-TE81F28,Turret,"AVM-CWM-EV-S2, AVM-HWM-E-S2",AVM-HCM-E-S2,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-AD2, AVM-JB-BE-S2",,
134,AVC-TE81M,Turret,"AVM-CWM-EDV-L1, AVM-HWM-E-L1",AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-L1,,
135,AVC-TB21F28,Bullet,,AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S2,,
136,AVC-TB22M,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-L1",,
137,AVC-TB51F28,Bullet,,AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S2,,
138,AVC-TB52M,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-L1",,
139,AVC-TBL52M50,Bullet,,,,,,,AVM-JB-BL-R1,,
140,AVC-TB81F28,Bullet,,AVM-HCM-E-S1,AVM-P-POM-A2,AVM-CRM-A1,,,AVM-JB-BE-S2,,
141,AVC-TB82M,Bullet,,AVM-HCM-E-L1,AVM-P-POM-A2,AVM-CRM-A1,,,"AVM-JB-BE-S2, AVM-JB-BE-L1",,
142,AVC-TD21F28,Indoor Dome,,,,,,,,,
143,AVC-TD22V,Indoor Dome,AVM-CWM-EDV-L1,,,,,,,,
144,AVC-TD22M,Indoor Dome,AVM-CWM-EDV-L1,,,,,,,,
